year,race_name,circuit,driver,team,finish_pos,status,start_grid,fp1_time,fp2_time,fp3_time,quali_pos,q1,q2,q3,pit_count,pit_time_total,avg_temp,avg_rain,overtakes,penalties,sc_count,vsc_count,red_flag_count,hist_avg_finish
2018,Bahrain Grand Prix,Bahrain International Circuit,BOT,Mercedes,2.0,Finished,3.0,91.364,90.38,90.781,3.0,0 days 00:01:29.275000,0 days 00:01:28.794000,0 days 00:01:28.124000,,,27.982524271844653,0.0,2,0,2,2,1,8.0
2018,Bahrain Grand Prix,Bahrain International Circuit,HAM,Mercedes,3.0,Finished,9.0,92.272,90.472,90.691,4.0,0 days 00:01:29.396000,0 days 00:01:28.458000,0 days 00:01:28.220000,,,27.982524271844653,0.0,8,0,2,2,1,2.0
2018,Bahrain Grand Prix,Bahrain International Circuit,GAS,Toro Rosso,4.0,Finished,5.0,92.779,91.232,91.438,6.0,0 days 00:01:30.121000,0 days 00:01:29.836000,0 days 00:01:29.329000,,,27.982524271844653,0.0,7,0,2,2,1,18.0
2018,Bahrain Grand Prix,Bahrain International Circuit,MAG,Haas F1 Team,5.0,Finished,6.0,92.971,91.969,91.737,7.0,0 days 00:01:29.594000,0 days 00:01:29.623000,0 days 00:01:29.358000,,,27.982524271844653,0.0,13,0,2,2,1,17.0
2018,Bahrain Grand Prix,Bahrain International Circuit,HUL,Renault,6.0,Finished,7.0,93.104,91.22,91.144,8.0,0 days 00:01:30.260000,0 days 00:01:29.187000,0 days 00:01:29.570000,,,27.982524271844653,0.0,11,0,2,2,1,7.0
2018,Bahrain Grand Prix,Bahrain International Circuit,ALO,McLaren,7.0,+1 Lap,13.0,93.223,91.282,91.445,13.0,0 days 00:01:30.530000,0 days 00:01:30.212000,,,,27.982524271844653,0.0,10,0,2,2,1,5.0
2018,Bahrain Grand Prix,Bahrain International Circuit,VAN,McLaren,8.0,+1 Lap,14.0,93.364,91.422,91.86,14.0,0 days 00:01:30.479000,0 days 00:01:30.525000,,,,27.982524271844653,0.0,18,0,2,2,1,9.0
2018,Bahrain Grand Prix,Bahrain International Circuit,ERI,Sauber,9.0,+1 Lap,17.0,93.508,92.733,91.859,17.0,0 days 00:01:31.063000,,,,,27.982524271844653,0.0,10,0,2,2,1,19.0
2018,Bahrain Grand Prix,Bahrain International Circuit,OCO,Force India,10.0,+1 Lap,8.0,93.794,91.809,91.554,9.0,0 days 00:01:30.338000,0 days 00:01:30.009000,0 days 00:01:29.874000,,,27.982524271844653,0.0,12,0,2,2,1,12.0
2018,Bahrain Grand Prix,Bahrain International Circuit,SAI,Renault,11.0,+1 Lap,10.0,92.885,91.601,91.2,10.0,0 days 00:01:29.893000,0 days 00:01:29.802000,0 days 00:01:29.986000,,,27.982524271844653,0.0,13,0,2,2,1,10.0
2018,Bahrain Grand Prix,Bahrain International Circuit,LEC,Sauber,12.0,+1 Lap,19.0,93.278,92.372,92.047,19.0,0 days 00:01:31.420000,,,,,27.982524271844653,0.0,12,0,2,2,1,13.0
2018,Bahrain Grand Prix,Bahrain International Circuit,GRO,Haas F1 Team,13.0,+1 Lap,16.0,92.516,91.591,91.513,16.0,0 days 00:01:30.530000,,,,,27.982524271844653,0.0,16,0,2,2,1,16.0
